fecha,value
2023-04-05 13:07:19,4572.78
2023-04-05 13:10:03,4572.9031
2023-04-05 13:10:22,4572.8265
2023-04-05 13:11:13,4573.0595
2023-04-05 13:11:58,4573.1477
2023-04-05 13:12:58,4573.2283
2023-04-05 13:13:12,4573.37
2023-04-05 13:13:19,4573.4327
2023-04-05 13:14:28,4572.678
2023-04-05 13:14:31,4572.6423
2023-04-05 13:14:33,4572.2873
2023-04-05 13:14:58,4572.2703
2023-04-05 13:15:00,4572.2498
2023-04-05 13:15:02,4571.7827
2023-04-05 13:15:04,4571.7749
2023-04-05 13:15:06,4571.7598
2023-04-05 13:15:08,4571.745
2023-04-05 13:15:09,4571.7114
2023-04-05 13:15:10,4571.6523
2023-04-05 13:15:16,4571.5208
2023-04-05 13:15:17,4571.4096
2023-04-05 13:15:19,4571.3696
2023-04-05 13:15:20,4571.3303
2023-04-05 13:15:27,4571.0371
2023-04-05 13:15:28,4570.9884
2023-04-05 13:15:29,4570.8047
2023-04-05 13:15:31,4570.614
2023-04-05 13:16:25,4570.5705
2023-04-05 13:16:26,4570.5122
2023-04-05 13:17:13,4570.4702
2023-04-05 13:17:15,4570.4287
2023-04-05 13:17:29,4570.3193
2023-04-05 13:17:34,4570.2659
2023-04-05 13:17:55,4569.3341
2023-04-05 13:18:02,4569.2541
2023-04-05 13:18:10,4569.2208
2023-04-05 13:18:46,4569.1556
2023-04-05 13:18:49,4569.1204
2023-04-05 13:19:04,4568.9361
2023-04-05 13:19:05,4568.8565
2023-04-05 13:19:18,4568.7325
2023-04-05 13:20:07,4568.6991
2023-04-05 13:20:34,4568.3014
2023-04-05 13:20:37,4568.1801
2023-04-05 13:20:40,4568.0638
2023-04-05 13:20:42,4567.9523
2023-04-05 13:20:48,4567.8453
2023-04-05 13:20:53,4567.8211
2023-04-05 13:20:55,4567.7193
2023-04-05 13:20:58,4567.6213
2023-04-05 13:21:17,4567.5195
2023-04-05 13:21:19,4567.4918
2023-04-05 13:21:20,4567.4368
2023-04-05 13:21:26,4567.15
2023-04-05 13:21:32,4567.1287
2023-04-05 13:21:34,4567.0854
2023-04-05 13:21:39,4567.0634
2023-04-05 13:21:47,4567.0481
2023-04-05 13:21:55,4567.035
2023-04-05 13:22:07,4567.0085
2023-04-05 13:22:43,4567.006
2023-04-05 13:23:12,4567.0046
2023-04-05 13:23:13,4567.0045
2023-04-05 13:23:14,4567.0045
2023-04-05 13:23:15,4567.0043
2023-04-05 13:23:18,4567.0043
2023-04-05 13:24:18,4567.0002
2023-04-05 13:24:20,4566.9978
2023-04-05 13:24:34,4566.9938
2023-04-05 13:24:48,4566.9917
2023-04-05 13:25:44,4566.9838
2023-04-05 13:25:47,4566.972
2023-04-05 13:26:01,4566.9642
2023-04-05 13:26:55,4566.9603
2023-04-05 13:27:03,4566.9209
2023-04-05 13:27:12,4566.8848
2023-04-05 13:27:32,4566.8719
2023-04-05 13:27:34,4566.8575
